eps_m,min_samples,checkins,unique_pois,all_episodes,clean_episodes,poi_labels_min_obs,median_city_approx_dunn,mean_city_approx_dunn,median_city_silhouette,mean_noise_rate,mean_clusters_per_city,food_leisure_obs,food_leisure_median,food_leisure_p25,food_leisure_p75,shopping_obs,shopping_median,shopping_p25,shopping_p75,tourism_attraction_obs,tourism_attraction_median,tourism_attraction_p25,tourism_attraction_p75,selected
100.0,3,1322295,143783,1008798,110642,3102,0.0417748909834224,0.0855995597610929,0.2365306906394095,0.2519215269797497,374.4,42477,69.73710871330002,44.60743334038051,105.8612704063245,34922,87.4244800264878,46.970396653802446,140.09506309926985,33243,92.30046174516396,47.77452234150408,150.173713309193,False
100.0,5,1322295,143783,1022814,117579,3346,0.0479491061696727,0.3548687599184962,0.3255939256802042,0.3670624464791977,205.33333333333331,45126,69.33599365056008,44.447354021557146,105.6524705503896,37670,87.26707554906011,46.75403838025202,140.16246914047156,34783,92.1511316666226,47.70088138252393,150.03576736583483,True
150.0,3,1322295,143783,934003,75461,1979,0.0393593149501902,0.0787950854824283,0.1128531845809995,0.1671556625183458,246.86666666666667,28554,71.34828430335028,45.2568682459037,106.66128088547242,23287,89.10585645157087,47.43220080956686,141.59372498250002,23620,92.71508265790966,47.805105843759385,151.44329755736732,False
150.0,5,1322295,143783,947979,81252,2149,0.0503669640261506,0.1016409881864662,0.2130300896438529,0.255723273465429,149.13333333333333,30829,71.19141323102379,45.25433727033733,106.62291682766866,25442,89.19373729927875,47.51155665212741,141.70019606651178,24981,93.70271499177812,48.13062053345674,152.13241495331158,False
200.0,3,1322295,143783,876514,49394,1276,0.0493198464833697,0.0708660995924456,0.0817784537051267,0.1210655000293675,166.4,17992,73.415934836044,45.1668113722644,108.3402905749093,14932,89.01795405267218,46.22599057678934,142.23744218885406,16470,93.72371821384012,47.171835817113134,152.5803231377039,False
200.0,5,1322295,143783,884819,52666,1386,0.0402395975841738,0.1306657128882632,0.1904187287664565,0.1881121088755562,107.13333333333334,19284,72.94997034841077,45.23181724342638,108.17112051286723,16156,88.87809126875956,46.22599057678934,142.35260041162996,17226,94.04693319154848,47.2081508108453,153.0999133210575,False
300.0,3,1322295,143783,791990,17418,396,0.0449630917956919,0.0704367062981684,0.0034007586956079,0.0749802971859013,84.13333333333334,5343,72.89074868472562,44.58447741114411,108.06648346636644,4094,79.59201496075113,41.049355992323655,132.25308672002384,7981,94.71264348749897,46.22256028145148,153.87392108211813,False
300.0,5,1322295,143783,796747,18790,437,0.057278422652112,0.0988396895467924,0.1833774875444583,0.114681652619167,58.266666666666666,5850,72.30761587192104,43.87247086265229,107.79902626591272,4515,78.58485582178754,40.4549635581257,131.19696181572726,8425,94.4682634320603,46.22466830486143,153.9855232193591,False
500.0,3,1322295,143783,769398,9183,189,0.0579201873366658,0.099389951136964,0.1012097692369674,0.0383389898255972,39.4,2357,77.5146545237363,46.7709798403108,112.36352428999405,1566,83.00044819721008,41.25578813254624,131.73123337558363,5260,97.2069072723016,47.14286309767351,156.50459168486643,False
500.0,5,1322295,143783,770155,9413,194,0.0722982696912544,0.1077118562222163,0.1657918639163797,0.0583258399031421,27.53333333333333,2447,76.57842396093629,46.07349349877076,112.06095342839842,1654,80.9584407757877,40.64185246207542,131.44762540585694,5312,97.0900158610032,47.14286309767351,156.33347581500593,False
